,State_Name,District_Name,Crop
53919,Chhattisgarh,NARAYANPUR,Sugarcane
132589,Maharashtra,NANDURBAR,Sesamum
231666,Uttarakhand,ALMORA,Garlic
131751,Maharashtra,NAGPUR,Sesamum
54131,Chhattisgarh,RAIGARH,Castor seed
133046,Maharashtra,NASHIK,Sesamum
53693,Chhattisgarh,MUNGELI,Jute
231541,Uttar Pradesh,VARANASI,Linseed
137447,Maharashtra,WASHIM,Bajra
51999,Chhattisgarh,KONDAGAON,Soyabean
55946,Chhattisgarh,SUKMA,Coconut 
55957,Chhattisgarh,SURAJPUR,Jute
136818,Maharashtra,THANE,Moong(Green Gram)
136843,Maharashtra,WARDHA,Castor seed
51736,Chhattisgarh,KANKER,Groundnut
136515,Maharashtra,SOLAPUR,Niger seed
128019,Maharashtra,BULDHANA,Sunflower
127616,Maharashtra,BHANDARA,Moong(Green Gram)
137495,Maharashtra,YAVATMAL,Rapeseed &Mustard
230646,Uttar Pradesh,UNNAO,Castor seed
127306,Maharashtra,BEED,Other  Rabi pulses
52575,Chhattisgarh,KORBA,Jute
232313,Uttarakhand,CHAMOLI,Gram
129296,Maharashtra,GONDIA,Other Kharif pulses
129073,Maharashtra,GADCHIROLI,Sesamum
135458,Maharashtra,SATARA,Sesamum
129721,Maharashtra,JALGAON,Rapeseed &Mustard
55221,Chhattisgarh,RAJNANDGAON,Cotton(lint)
129677,Maharashtra,HINGOLI,Other  Rabi pulses
136093,Maharashtra,SINDHUDURG,Niger seed
128396,Maharashtra,DHULE,Sesamum
167352,Rajasthan,BIKANER,Small millets
167232,Rajasthan,BHILWARA,Sweet potato
63672,Gujarat,SABAR KANTHA,Moth
110389,Madhya Pradesh,HARDA,Jute
4731,Andhra Pradesh,KURNOOL,Sesamum
110866,Madhya Pradesh,HOSHANGABAD,Castor seed
110115,Madhya Pradesh,GWALIOR,Other Kharif pulses
166788,Rajasthan,BHARATPUR,Sweet potato
64017,Gujarat,SURAT,Moth
167964,Rajasthan,BUNDI,Sweet potato
168046,Rajasthan,CHITTORGARH,Moth
224813,Uttar Pradesh,PILIBHIT,Gram
109687,Madhya Pradesh,GUNA,Other Kharif pulses
59306,Gujarat,DANG,Dry chillies
166059,Rajasthan,BARAN,Sweet potato
165640,Rajasthan,BANSWARA,Garlic
111799,Madhya Pradesh,JABALPUR,Safflower
111588,Madhya Pradesh,INDORE,Sesamum
112356,Madhya Pradesh,JHABUA,Other  Rabi pulses
165243,Rajasthan,ALWAR,Banana
62868,Gujarat,PANCH MAHALS,Tobacco
63417,Gujarat,RAJKOT,Other Cereals & Millets
166213,Rajasthan,BARMER,Sesamum
109037,Madhya Pradesh,DINDORI,Sugarcane
170630,Rajasthan,HANUMANGARH,Sannhamp
106772,Madhya Pradesh,CHHINDWARA,Ragi
170284,Rajasthan,GANGANAGAR,Sannhamp
107177,Madhya Pradesh,DAMOH,Small millets
106330,Madhya Pradesh,CHHATARPUR,Banana
171032,Rajasthan,JAIPUR,Sweet potato
65462,Gujarat,VALSAD,Other Cereals & Millets
169862,Rajasthan,DUNGARPUR,Mesta
64963,Gujarat,VADODARA,Small millets
108616,Madhya Pradesh,DHAR,Small millets
168619,Rajasthan,CHURU,Tobacco
64421,Gujarat,SURENDRANAGAR,Other Kharif pulses
108258,Madhya Pradesh,DEWAS,Moong(Green Gram)
168844,Rajasthan,DAUSA,Potato
107773,Madhya Pradesh,DATIA,Other Kharif pulses
169467,Rajasthan,DHOLPUR,Sweet potato
156883,Odisha,NABARANGPUR,Rapeseed &Mustard
117812,Madhya Pradesh,RATLAM,Sesamum
117748,Madhya Pradesh,RAJGARH,Other Kharif pulses
155824,Odisha,MALKANGIRI,Urad
235376,Uttarakhand,TEHRI GARHWAL,other oilseeds
60469,Gujarat,JUNAGADH,Small millets
43039,Bihar,SHEIKHPURA,Moong(Green Gram)
9452,Andhra Pradesh,WEST GODAVARI,other oilseeds
154887,Odisha,KHORDHA,Maize
60237,Gujarat,JAMNAGAR,Other  Rabi pulses
155328,Odisha,KORAPUT,Moong(Green Gram)
116204,Madhya Pradesh,NEEMUCH,Cotton(lint)
116654,Madhya Pradesh,PANNA,Small millets
158121,Odisha,PURI,Sesamum
60860,Gujarat,KACHCHH,Gram
226666,Uttar Pradesh,SAHARANPUR,Cotton(lint)
158478,Odisha,RAYAGADA,Urad
157654,Odisha,NUAPADA,Sesamum
117102,Madhya Pradesh,RAISEN,Horse-gram
157192,Odisha,NAYAGARH,Ragi
42685,Bihar,SARAN,Other Kharif pulses
119678,Madhya Pradesh,SATNA,Urad
151814,Odisha,GANJAM,Rice
234847,Uttarakhand,PITHORAGARH,Other  Rabi pulses
151910,Odisha,JAGATSINGHAPUR,Ragi
119326,Madhya Pradesh,SAGAR,Ragi
152266,Odisha,JAJAPUR,Ragi
59555,Gujarat,DOHAD,Other Cereals & Millets
151140,Odisha,GAJAPATI,Urad
227507,Uttar Pradesh,SANT RAVIDAS NAGAR,Linseed
118613,Madhya Pradesh,REWA,Groundnut
44385,Bihar,SIWAN,Moong(Green Gram)
235121,Uttarakhand,RUDRA PRAYAG,other oilseeds
153876,Odisha,KANDHAMAL,Moong(Green Gram)
154021,Odisha,KENDRAPARA,Moong(Green Gram)
154369,Odisha,KENDUJHAR,Sesamum
152680,Odisha,JHARSUGUDA,Moong(Green Gram)
59889,Gujarat,GANDHINAGAR,Moth
164790,Rajasthan,AJMER,Arhar/Tur
62379,Gujarat,NAVSARI,Groundnut
113078,Madhya Pradesh,KHANDWA,Sunflower
113009,Madhya Pradesh,KATNI,Banana
236387,Uttarakhand,UTTAR KASHI,Sunflower
164390,Punjab,TARN TARAN,Urad
